id;standort;anzahl_ladepunkte;ladesaeule_status;adresse;koordinaten;typ;ladepunkt;stecker;status;authmethod_1;authmethod_2;the_geom;coordinate_reference_system
APP_STROMNETZ_EMOBILITY_8556637;555;2;teilweise belegt;Gert-Marcus-Straße 17A;N53.602907 E9.978292;;+49 8003006070;;unbekannt;unbekannt;;POINT (564734.394959 5939787.234844);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556638;555;2;teilweise belegt;Gert-Marcus-Straße 17A;N53.602907 E9.978292;;+49 8003006070;;unbekannt;unbekannt;;POINT (564734.394959 5939787.234844);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556639;556;2;teilweise belegt;Clemens-Schulz-Straße 96;N53.552243 E9.964925;;+49 8003006070;;unbekannt;unbekannt;;POINT (563926.300832 5934138.894484);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556640;556;2;teilweise belegt;Clemens-Schulz-Straße 96;N53.552243 E9.964925;;+49 8003006070;;unbekannt;unbekannt;;POINT (563926.300832 5934138.894484);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556641;557;2;teilweise belegt;Eppendorfer Baum 43;N53.584720 E9.981720;;+49 8003006070;;unbekannt;unbekannt;;POINT (564989.125951 5937767.089111);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556642;557;2;teilweise belegt;Eppendorfer Baum 43;N53.584720 E9.981720;;+49 8003006070;;unbekannt;unbekannt;;POINT (564989.125951 5937767.089111);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556643;558;2;belegt;Erik-Blumenfeld-Platz 7;N53.563410 E9.814991;;+49 8003006070;;unbekannt;unbekannt;;POINT (553979.168330 5935257.094469);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556644;558;2;belegt;Erik-Blumenfeld-Platz 7;N53.563410 E9.814991;;+49 8003006070;;unbekannt;unbekannt;;POINT (553979.168330 5935257.094469);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556645;559;2;teilweise belegt;Martinistraße 26;N53.592634 E9.985397;;+49 8003006070;;unbekannt;unbekannt;;POINT (565220.346587 5938650.868283);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556646;559;2;teilweise belegt;Martinistraße 26;N53.592634 E9.985397;;+49 8003006070;;unbekannt;unbekannt;;POINT (565220.346587 5938650.868283);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556647;560;2;teilweise belegt;Holländische Reihe 27;N53.547690 E9.928810;;+49 8003006070;;unbekannt;unbekannt;;POINT (561540.349293 5933600.575029);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556648;560;2;teilweise belegt;Holländische Reihe 27;N53.547690 E9.928810;;+49 8003006070;;unbekannt;unbekannt;;POINT (561540.349293 5933600.575029);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556649;561;2;frei;Auf dem Königslande 51;N53.581000 E10.078990;;+49 8003006070;;unbekannt;unbekannt;;POINT (571434.384978 5937446.443411);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556650;561;2;frei;Auf dem Königslande 51;N53.581000 E10.078990;;+49 8003006070;;unbekannt;unbekannt;;POINT (571434.384978 5937446.443411);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556651;562;2;frei;Am Rathenaupark 16;N53.550940 E9.912720;;+49 8003006070;;unbekannt;unbekannt;;POINT (560469.664419 5933948.349563);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556652;562;2;frei;Am Rathenaupark 16;N53.550940 E9.912720;;+49 8003006070;;unbekannt;unbekannt;;POINT (560469.664419 5933948.349563);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556653;563;2;belegt;Stresemannstraße 332;N53.563486 E9.927330;;+49 8003006070;;unbekannt;unbekannt;;POINT (561419.409948 5935356.569278);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556654;563;2;belegt;Stresemannstraße 332;N53.563486 E9.927330;;+49 8003006070;;unbekannt;unbekannt;;POINT (561419.409948 5935356.569278);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556655;564;2;belegt;Litzowstieg 6;N53.573570 E10.068770;;+49 8003006070;;unbekannt;unbekannt;;POINT (570770.202451 5936609.673293);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556656;564;2;belegt;Litzowstieg 6;N53.573570 E10.068770;;+49 8003006070;;unbekannt;unbekannt;;POINT (570770.202451 5936609.673293);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556657;565;2;frei;Eilbeker Weg 73;N53.570726 E10.047845;;+49 8003006070;;unbekannt;unbekannt;;POINT (569389.324312 5936272.692470);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556658;565;2;frei;Eilbeker Weg 73;N53.570726 E10.047845;;+49 8003006070;;unbekannt;unbekannt;;POINT (569389.324312 5936272.692470);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556659;566;2;teilweise belegt;Ratsmühlendamm 13;N53.626029 E10.027194;;+49 8003006070;;unbekannt;unbekannt;;POINT (567933.052072 5942405.098696);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556660;566;2;teilweise belegt;Ratsmühlendamm 13;N53.626029 E10.027194;;+49 8003006070;;unbekannt;unbekannt;;POINT (567933.052072 5942405.098696);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556661;567;2;teilweise belegt;Andreas-Knack-Ring 2;N53.604596 E10.034900;;+49 8003006070;;unbekannt;unbekannt;;POINT (568477.344327 5940028.106295);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556662;567;2;teilweise belegt;Andreas-Knack-Ring 2;N53.604596 E10.034900;;+49 8003006070;;unbekannt;unbekannt;;POINT (568477.344327 5940028.106295);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556663;568;2;frei;Kellinghusenstraße 10;N53.590674 E9.992296;;+49 8003006070;;unbekannt;unbekannt;;POINT (565679.995918 5938439.165280);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556664;568;2;frei;Kellinghusenstraße 10;N53.590674 E9.992296;;+49 8003006070;;unbekannt;unbekannt;;POINT (565679.995918 5938439.165280);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556665;569;2;teilweise belegt;Breitenfelder Straße 16;N53.584900 E9.971780;;+49 8003006070;;unbekannt;unbekannt;;POINT (564330.850757 5937778.085927);EPSG:25832
