standort_id,breitengrad,laengengrad,adress_id
29023,49.349492,8.768603,24607
12734,49.961389,8.017222,11314
11650,51.167403,13.500904,10330
13896,48.06832,10.86018,12231
2031,52.931308,9.225083,1747
28867,48.827926,9.322022,24494
2032,52.914553,9.231946,1748
33473,51.420483,7.025033,28101
6693,48.41471,10.853698,5727
12194,51.447855,7.077065,10815
81,50.53956,9.6980824,80
3692,51.368539,7.250031,3026
11339,51.5117,7.462412,10034
11338,51.512061,7.46392,10033
11329,51.517456,7.46717,10024
12177,51.463537,7.016784,10799
31527,51.283806,7.291917,26380
2955,48.36855,10.89449,2513
18453,50.413358,8.035598,16248
26369,50.848549,8.786986,22465
124,50.492413,8.658913,123
18661,50.037049,8.154066,16439
28864,48.83577,9.316608,24491
33450,51.45808,7.017952,28084
33487,51.464465,7.001866,28113
24647,47.78143,10.6167,21017
33486,51.466267,7.013612,28112
18110,50.772775,7.284127,15935
13287,50.008132,9.058023,11746
10062,51.431658,7.002196,8812
16783,51.512761,6.953711,14747
9937,52.378869,8.614268,8704
9875,51.112778,6.953056,8647
26375,50.8833455,8.9151818,22471
5919,50.203889,6.422778,5036
481,50.9230816,8.9448643,425
10015,51.19498727,6.822851086,8771
25385,52.539838,13.218198,21661
15087,52.533676,13.174356,13233
26063,50.4983632,9.947184,22206
26366,50.9044253,8.727628,22462
8572,52.547492,13.183481,7407
8280,52.511752,13.497569,7133
25380,52.52642,13.217282,21659
8577,52.558221,13.218296,7412
8576,52.555691,13.198259,7411
25388,52.537454,13.261589,21664
25320,52.544364,13.520168,21608
8583,52.528134,13.2264,7418
25085,52.505879,13.513451,21399
14801,52.502977,13.481084,12977
27017,53.77447891,9.06788,22946
28584,54.330644,10.179838,24253
5344,51.303548,9.428222,4489
26345,50.083694,8.449395,22443
9599,50.606725,6.303717,8378
10034,51.460996,7.014705,8790
10033,51.45827,7.010903,8789
12128,51.455833,7.006111,10757
20083,51.807271,8.432972,17571
13472,48.576725,10.447875,11919
32666,52.257656,7.630326,27422
32585,50.779855,6.08138,8335
32602,50.783471,6.099977,27349
9555,50.779876,6.081486,8335
1402,52.98516,9.83797,1203
1401,52.990283,9.839244,1202
11383,51.520382,7.488602,10079
21296,48.776649,11.425258,18552
31409,52.091989,7.235734,26269
18558,50.8309685,8.7721578,16341
19635,53.181485,8.756126,17221
26371,50.962051,8.7176998,22467
18567,50.8621614,8.705502,16350
29837,48.539803,12.1003,25224
1619,53.228597,8.784339,1409
13290,49.982515,9.089897,11749
29009,49.292841,8.6969818,24592
26477,49.98336,7.96471,22565
559,50.02711,8.12039,498
14942,52.469452,13.371279,13100
8389,52.459677,13.384747,7235
1631,53.141181,8.906593,1421
9235,51.153701,7.341464,8023
27868,51.144396,7.225024,23637
17968,51.37138521,12.47672975,10358
14997,52.41626,13.496625,13151
15039,52.513886,13.554322,13189
14936,52.484389,13.387306,13094
25099,52.531184,13.468954,21412
25233,52.47172,13.328,21528
25317,52.540672,13.574287,21605
8473,52.51124,13.587448,7317
8448,52.452364,13.422523,7293
8397,52.440133,13.387033,7243
16628,51.44782576,6.632278949,14605
29651,48.422407,9.946818,25068
11592,51.281298,12.428057,10275
14261,48.392776,9.995655,12490
24567,48.437527,10.05227,20941
24546,48.379982,10.008281,20928
14258,48.393623,10.017674,12487
24545,48.366718,10.008961,20927
21143,48.402309,9.999741,18419
21151,48.392513,9.98429,18427
21153,48.421764,10.007716,18429
30349,48.413496,9.8623,25491
7710,48.398766,10.011235,6585
29644,48.389553,9.948249,25061
21152,48.35257,9.895845,18428
29645,48.39381,9.964006,25062
7719,48.324619,10.044153,6589
29646,48.359882,9.989032,25063
29643,48.414074,9.949475,25060
29642,48.400898,9.970082,25059
21147,48.399254,9.957046,18423
7709,48.390106,10.036999,6584
30361,48.468163,9.94098,25501
24544,48.401615,10.020119,20926
29647,48.386959,9.967009,25064
14259,48.409084,10.036512,12488
