adress_id,kreis_kreisfreie_stadt,ort,postleitzahl,strasse,hausnummer
18193,Stadtkreis Heidelberg,Heidelberg,69126,Schelklystraße,34
17863,Landkreis Reutlingen,Metzingen,72555,Auchtertstr.,19
15563,Landkreis Kyffhäuserkreis,Artern,6556,Am Kalkfeld,2
2789,Kreisfreie Stadt München,München,80937,Knorrstraße,147
7211,Kreisfreie Stadt Berlin,Berlin,10961,Blücherstraße,22
16749,Kreisfreie Stadt Wilhelmshaven,Wilhelmshaven,26389,Hundertwasserallee,1
4435,Kreisfreie Stadt Frankfurt am Main,Frankfurt am Main,60311,Weißfrauenstraße,7
4657,Kreisfreie Stadt Köln,Köln,51069,Waltherstraße,49-51
2329,Stadtkreis Mannheim,Mannheim,68239,Kloppenheimer Str,10a
7321,Kreisfreie Stadt Berlin,Berlin,12623,Hultschiner Damm,167-169
5549,Kreisfreie Stadt Regensburg,Regensburg,93051,Friedenstraße,8
21097,Landkreis Regensburg,Pettendorf,93186,Heerbergstraße,3
11327,Landkreis Mayen-Koblenz,Mayen,56727,Kelberger Strasse,83
18547,Kreisfreie Stadt Ingolstadt,Ingolstadt,85055,Siemensstr.,1
15193,Kreis Nordfriesland,Ladelund,25926,Dorfstraße,38
16432,Landkreis Rheingau-Taunus-Kreis,Eltville,65343,Kiliansring,1
6879,Landkreis Schwandorf,Schwandorf,92421,Wackersdorfer Straße,52
9690,Landkreis Altenburger Land,Gößnitz,4639,August-Bebel-Straße,45
2344,Stadtkreis Mannheim,Mannheim,68309,Abraham-Lincoln-Allee,0
16984,Landkreis Grafschaft Bentheim,Schüttorf,48465,Quendorfer Straße,34
22948,Landkreis Cuxhaven,Cuxhaven,27472,Grodener Chaussee,67-69
15511,Landkreis Altenburger Land,Meuselwitz,4610,Rathausstr,33
24611,Landkreis Rhein-Neckar-Kreis,Weinheim,69469,Waidallee,100
10001,Kreisfreie Stadt Bottrop,Bottrop,46240,Zum Haldenblick,9
7669,Landkreis Potsdam-Mittelmark,Teltow,14513,Potsdamer Straße,4
4286,Landkreis Rastatt,Ötigheim,76470,Kronenstraße,4
27933,Landkreis Mittelsachsen,Roßwein,4741,Gartenstr,4
4287,Landkreis Rastatt,Ötigheim,76470,Industriestraße,42
2332,Stadtkreis Mannheim,Mannheim,68259,Unteres Kirchfeld,13
23037,Landkreis Gifhorn,Gifhorn,38518,Torstraße,14a
11519,Kreisfreie Stadt Nürnberg,Nürnberg,90411,Aüßere Bayreuther Strasse,134
21199,Landkreis Schwandorf,Nabburg,92507,Regensburger Straße,33
25781,Landkreis Esslingen,Kirchheim unter Teck,73230,Hahnweidstr.,44
23038,Landkreis Gifhorn,Gifhorn,38518,Schillerplatz,11
28729,Landkreis Westerwaldkreis,Ransbach-Baumbach,56235,Poststraße,11
16933,Landkreis Gifhorn,Gifhorn,38518,Zur Allerwelle,1
10731,Kreisfreie Stadt Düsseldorf,Düsseldorf,40547,Emanuel-Leutze-Str.,11
20265,Landkreis Augsburg,Bobingen,86399,Königsbrunnerstr.,1a
9102,Landkreis Jerichower Land,Burg,39288,Mauerstraße,1
18369,Stadtkreis Stuttgart,Stuttgart,70469,Heilbronner Str.,392
17833,Landkreis Rems-Murr-Kreis,Winnenden,71364,Waiblingerstr.,44
22962,Landkreis Diepholz,Stuhr,28816,Bremer Straße,107
15036,Landkreis Jerichower Land,Burg,39288,Rolandplatz,1
5237,Landkreis Merzig-Wadern,Merzig,66663,Saarwiesenring,3
5754,Landkreis Bad Kissingen,Nüdlingen,97720,Mühlweg,0
23840,Landkreis Jerichower Land,Burg,39288,Zerbster Promenade,1
2497,Kreisfreie Stadt Amberg,Amberg,92224,Sulzbacher Straße,2
5755,Landkreis Bad Kissingen,Nüdlingen,97720,Josef-Willmann-Straße,0
28719,Landkreis Vulkaneifel,Daun,54550,Rosenbergstraße,0
19621,Landkreis Rastatt,Loffenau,76597,Kirchhaldenpfad,4
10181,Landkreis Bautzen,Radeberg,1454,Dresdener Str,40
21500,Kreisfreie Stadt Berlin,Berlin,10999,Waldemarstraße,33a
17595,Kreis Heinsberg,Hückelhoven,41836,Roermonder Str.,14
21925,Kreisfreie Stadt Bremen,Bremen,28215,Hemmstr,351
1368,Landkreis Osnabrück,Bissendorf,49143,Zum Eistruper Feld,2
1641,Landkreis Rotenburg (Wümme),Oerel,27432,Bohlenstraße,10
5563,Kreisfreie Stadt Regensburg,Regensburg,93055,Herbert-Quandt-Allee,0
20390,Landkreis Dillingen a.d. Donau,Haunsheim,89437,Hauptstraße,29
16854,Landkreis Diepholz,Stuhr - Groß Mackenstedt,28816,Moordeicher Landstr.,84-86
16066,Landkreis Gießen,Grünberg,35305,Gießener Str.,55
9925,Kreisfreie Stadt Bochum,Bochum,44803,Suttner-Nobel-Allee,1
26206,Landkreis Ostalbkreis,Stödtlen,73495,Schulstraße,9
17562,Kreis Gütersloh,Gütersloh,33334,Brockweg,306-308
18386,Stadtkreis Stuttgart,Stuttgart,70563,Hauptstraße,166
13022,Kreisfreie Stadt Berlin,Berlin,10589,Klaustaler Str.,34
21289,Landkreis Traunstein,Seeon,83370,Gewerbering,3
21426,Kreisfreie Stadt Berlin,Berlin,10551,Wilhelmshavener Str.,58
21427,Kreisfreie Stadt Berlin,Berlin,10551,Waldenserstr.,10
21430,Kreisfreie Stadt Berlin,Berlin,10553,Ufnaustr.,10
22369,Landkreis Limburg-Weilburg,Bad Camberg,65520,Beuerbacher Landstraße,1
25941,Landkreis Karlsruhe,Ettlingen,76275,Hauptstr.,29
22619,Landkreis Waldeck-Frankenberg,Frankenberg,35066,Siegener Str.,5
24112,Kreis Rendsburg-Eckernförde,Rendsburg,24768,Kreishafen,4
24113,Kreis Rendsburg-Eckernförde,Rendsburg,24768,Sophienstraße,1
12901,Landkreis Weißenburg-Gunzenhausen,Gunzenhausen,91710,Alemannenstraße,8
13009,Kreisfreie Stadt Berlin,Berlin,10557,Flensburger Str.,20
7165,Kreisfreie Stadt Berlin,Berlin,10559,Birkenstr.,68
7160,Kreisfreie Stadt Berlin,Berlin,10557,Thomasiusstr.,16
13010,Kreisfreie Stadt Berlin,Berlin,10557,Lüneburger Str.,19
14008,Kreis Rhein-Sieg-Kreis,Troisdorf,53840,Frankfurter Str.,93
17028,Landkreis Harburg,Neu Wulmstorf,21629,Matthias-Claudius-Straße,1
6079,Landkreis Freising,Hallbergmoos,85399,Am Söldnermoos,23
2322,Stadtkreis Mannheim,Mannheim,68167,Dudenstraße,12
24928,Stadtkreis Mannheim,Mannheim,68309,Gartenstraße,10
3700,Landkreis Esslingen,Esslingen,73732,Langer Weg,50
1265,Landkreis Holzminden,Holzminden,37603,Allersheimer Str.,38
2345,Stadtkreis Mannheim,Mannheim,68309,Robert-Funari-Straße,2-6
11068,Kreisfreie Stadt Landau in der Pfalz,Landau in der Pfalz,76829,Maximilianstraße,34
7149,Kreisfreie Stadt Berlin,Berlin,10437,Gaudystr.,27
10184,Landkreis Bautzen,Bischofswerda,1877,Carl-Maria-von-Weber-Str.,7
20477,Landkreis Erding,Oberding,85445,Hauptstr.,60
20098,Kreisfreie Stadt Regensburg,Regensburg,93049,Prüfeningerstr.,86
3207,Kreis Hochsauerlandkreis,Olsberg,59939,Kreisstraße,36
11376,Landkreis Südliche Weinstraße,Bad Bergzabern,76887,Weinstraße,41
12902,Landkreis Weißenburg-Gunzenhausen,Gunzenhausen,91710,Industriestraße,7 A
20861,Landkreis München,Unterschleißheim,85716,Südliche Ingolstädter Straße,0
12401,Landkreis München,Unterschleißheim,85716,Rathausplatz,1
12400,Landkreis München,Unterschleißheim,85716,Zum Hirschdamm,3
12399,Landkreis München,Unterschleißheim,85716,Edith-Stein-Str.,33
12398,Landkreis München,Unterschleißheim,85716,Theresienbogen,25
20114,Kreisfreie Stadt Regensburg,Regensburg,93055,Ditthronstraße,10
12397,Landkreis München,Unterschleißheim,85716,Hartmut-Hermann-Weg,2
23909,Kreis Dithmarschen,Tellingstedt,25782,Rendsburger Str.,51
16343,Landkreis Marburg-Biedenkopf,Marburg,35043,Zu den Sandbeeten,5
6480,Landkreis München,Unterschleißheim,85716,Siriusstr.,2
6479,Landkreis München,Unterschleißheim,85716,Stadionstr.,1
12293,Landkreis Main-Spessart,Marktheidenfeld,97828,Kolpingstraße,11
4801,Kreisfreie Stadt Frankenthal (Pfalz),Frankenthal (Pfalz),67227,Westliche Ringstraße,34
20859,Landkreis München,Unterschleißheim,85716,Pegasusstr.,16
26586,Kreis Kleve,Straelen,47638,Klosterplatz,6
20858,Landkreis München,Unterschleißheim,85716,Robert-Schuman-Str.,1
3733,Landkreis Freudenstadt,Baiersbronn,72270,Heselbacher Wg,72
9035,Landkreis Altmarkkreis Salzwedel,Salzwedel,29410,Kleinbahnstraße,1
3708,Landkreis Esslingen,Esslingen,73734,Friedrich-Ebert-Str.,5
13794,Kreis Paderborn,Paderborn,33104,Wilfried Finke Allee,2
7668,Landkreis Potsdam-Mittelmark,Teltow,14513,Schönower Str,3
13349,Landkreis Havelland,Falkensee,14612,Scharenbergstrasse,16
24123,Kreis Schleswig-Flensburg,Süderbrarup,24392,Große Str.,16
15313,Kreis Schleswig-Flensburg,Süderbrarup,24392,Bahnhofstr.,15
19830,Kreisfreie Stadt Wiesbaden,Wiesbaden-Nordenstadt,65205,Siemensstraße,8
24124,Kreis Schleswig-Flensburg,Süderbrarup,24392,Holmer Str.,2
18508,Kreisfreie Stadt Fürth,Fürth,90762,Ottostraße,27
11039,Kreisfreie Stadt Frankenthal (Pfalz),Frankenthal (Pfalz),67227,Jakobsplatz,0
15312,Kreis Schleswig-Flensburg,Süderbrarup,24392,Bahnhofstr.,9
26096,Landkreis Main-Tauber-Kreis,Freudenberg,97896,Eichbergstrasse,6
23770,Landkreis Altmarkkreis Salzwedel,Salzwedel,29410,Am Chüdenwall,1
16809,Landkreis Celle,Hambüren,29313,Ostlandstr.,2a
6035,Landkreis Forchheim,Effeltrich,91090,Baiersdorfer Straße,8b
7229,Kreisfreie Stadt Berlin,Berlin,12049,Lichtenrader Str.,50
18130,Stadtkreis Baden-Baden,Baden-Baden,76530,Augustaplatz,3
13977,Kreis Rhein-Kreis Neuss,Kaarst,41564,Gustav Heinemann Str.,9
21493,Kreisfreie Stadt Berlin,Berlin,10969,Alte Jakobstr.,121
11040,Kreisfreie Stadt Frankenthal (Pfalz),Frankenthal (Pfalz),67227,Jahnplatz,0
26484,Kreis Herford,Herford,32051,Füllenbruchstr.,50
3694,Landkreis Esslingen,Esslingen,73728,Wehrneckarstr.,9
20923,Landkreis Neu-Ulm,Neu-Ulm,89231,Augsburger Str.,187
15424,Kreisfreie Stadt Kiel,Kiel,24103,Schloßgarten,7
21556,Kreisfreie Stadt Berlin,Berlin,12347,Friedrichsbrunner Str.,19
13076,Kreisfreie Stadt Berlin,Berlin,10999,Paul-Lincke-Ufer,39
24139,Kreis Schleswig-Flensburg,Busdorf,24866,Tweebarg,34
1284,Landkreis Lüchow-Dannenberg,Lüchow,29439,Am Kleinbahnhof,2
24138,Kreis Schleswig-Flensburg,Busdorf,24866,Schulstrasse,1
17818,Landkreis Rems-Murr-Kreis,Fellbach,70734,Esslinger Str.,136
13147,Kreisfreie Stadt Berlin,Berlin,12347,Franz-Körner-Str.,66
16194,Landkreis Kassel,Wolfhagen,34466,Schützeberger Str.,0
18996,Landkreis Emmendingen,Malterdingen,79364,Vogtweg,5
6407,Landkreis Mühldorf a. Inn,Waldkraiburg,84478,Teplitzer Str.,25
25211,Kreisfreie Stadt Kempten (Allgäu),Kempten,87435,Grabengasse,4
20610,Landkreis Garmisch-Partenkirchen,Farchant,82490,Am Gern,3
8669,Kreis Mettmann,Velbert,42549,Akazienstraße,0
4802,Kreisfreie Stadt Frankenthal (Pfalz),Frankenthal (Pfalz),67227,Parsevalplatz,0
15508,Kreisfreie Stadt Weimar,Weimar-Legefeld,99428,Lindenallee,15
24659,Landkreis Schwäbisch Hall,Crailsheim,74564,Haller Straße,1
11677,Landkreis Altötting,Burghausen,84489,Gewerbepark Lindach,D9a
267,Landkreis Kassel,Wolfhagen,34466,Ritterstraße,1
8705,Kreis Minden-Lübbecke,Stemwede,32351,Blumenhorst,6
263,Landkreis Kassel,Hofgeismar,34369,Kasinoweg,22
2816,Kreisfreie Stadt München,München,81249,Hans-Steinkohl-Straße,30
285,Landkreis Lahn-Dill-Kreis,Dillenburg,35683,Stadionstr.,0
14752,Kreisfreie Stadt Bottrop,Bottrop,46244,Utschlagstr.,39
27620,Kreis Mettmann,Hilden,40724,Walder Straße,111
27509,Kreis Viersen,Nettetal,41334,Buschstraße,5
12172,Landkreis Kelheim,Kelheim,93309,Donaupark,0
27818,Landkreis Bautzen,Kamenz OT Biehla,1917,Biehlaer Nordstraße,5
6256,Landkreis Kronach,Küps,96328,Lauschaweg,27
3204,Kreis Hochsauerlandkreis,Brilon,59929,Möhnestraße,54
24750,Landkreis Tuttlingen,Frittlingen,78665,Weiherstraße,6
21340,Landkreis Wunsiedel i. Fichtelgebirge,Marktredwitz,95615,Böttger Straße,9
7615,Landkreis Oberspreewald-Lausitz,Senftenberg,1968,Kleinkoschener Str.,24
24140,Kreis Schleswig-Flensburg,Busdorf,24866,Schulstraße,1
18282,Stadtkreis Pforzheim,Pforzheim,75177,Kieselbronner Straße,43
24807,Stadtkreis Baden-Baden,Baden-Baden,76534,Beuernerstraße,12
24679,Landkreis Schwarzwald-Baar-Kreis,Brigachtal,78086,St.-Gallus-Straße,0
12900,Landkreis Weilheim-Schongau,Steingaden,86989,Krummbachstr.,8
28454,Kreisfreie Stadt Worms,Worms,67547,Koehlstr.,7
11877,Landkreis Coburg,Bad Rodach,96476,Max-Roesler-Str.,11
26029,Landkreis Lörrach,Schopfheim,79650,Scheffelstraße,1
19086,Landkreis Esslingen,Esslingen am Neckar,73730,Aleenstr.,32
19340,Landkreis Konstanz,Radolfzell,78315,Zeppelinstraße,5
5806,Landkreis Bayreuth,Goldkronach,95497,Austr.,1
18102,Landkreis Waldshut,Bonndorf,79848,Im Breitenfeld,20
3533,Landkreis Breisgau-Hochschwarzwald,Bollschweil,79283,Hexentalstraße,56
18532,Kreisfreie Stadt Ingolstadt,Ingolstadt,85049,Friedrichshofener Str.,2a
5907,Landkreis Dingolfing-Landau,Dingolfing,84130,Mengkofener Straße,19
5911,Landkreis Dingolfing-Landau,Dingolfing,84130,Bei Bahnhofstraße,56
14045,Kreis Soest,Bad Sassendorf,59505,Mörikestr.,10
6139,Landkreis Fürth,Veitsbronn,90587,Fürther Str.,60
8454,Kreis Unna,Schwerte,58239,Liethstraße,32-36
4733,Kreisfreie Stadt Münster,Münster,48163,Ottmarsbocholer Straße,3
17983,Landkreis Schwäbisch Hall,Schrozberg,74575,Krailshausener Straße,15
20743,Landkreis Lindau (Bodensee),Lindau (B),88131,Chelles-Alee,1
