betreiber_id,betreiber
3582,Stadt Brackenheim
1130,Stadtwerke Neustadt an der Weinstraße GmbH
3740,Gemeindeverwaltung Stegaurach
203,Inselwerke eG
210,SWS Energie GmbH
641,Stadtwerke Augsburg Energie GmbH
998,Überlandwerk Schäftersheim GmbH & Co. KG
1846,AggerEnergie GmbH
2621,Autohaus Schaller LL
2304,Stadtwerke Zittau GmbH
4071,Schönfeld Hörsysteme Einzelunternehmen
1800,Hotel am Untersee
3259,AHG Marhenke Automobil Handels GmbH u. Co KG
255,SVO Vertrieb GmbH
2331,Stadtwerke Freiberg AG
3810,Elektrizitätswerk Tegernsee Carl Miller KG
564,Stadtwerke Bad Säckingen GmbH
4041,Marktplatz energie//effizient UG
1440,Freisinger Stadtwerke Versorgungs-GmbH
3860,Überlandwerk Rhön GmbH
2671,Stadtwerke Röthenbach a. d. Pegnitz GmbH
4646,Gemeinde Borsdorf
1708,Stadtwerke Treuchtlingen
3432,Eugen Hackenschuh e. K.
4238,asola Technologies GmbH
1938,Stadtwerke Lünen GmbH
2663,Franken-Therme Bad Windsheim GmbH
1441,Freisinger Bank eG
4090,Stadtwerke Bad Sachsa GmbH
1359,Stadtwerke Forchheim GmbH
2082,Stadtwerke Heide GmbH
2161,Stadtwerke Lübeck GmbH
179,Hotel Bornmühle GmbH & Co KG
1522,Energieversorgung Lohr-Karlstadt u. Umgebung GmbH & Co. KG
2665,Stadtwerke Uffenheim
1586,Stadtwerke Altdorf GmbH
615,Hänssler Kunststoff- und Dichtungstechnik GmbH
1589,Gemeindewerke Schwarzenbruck GmbH
1587,Feuchter Gemeindewerke GmbH
987,Stadtwerke Bietigheim-Bissingen
1727,Service4Charger
649,energie schwaben gmbh
945,Stadtwerk Tauberfranken GmbH
2923,Abfallwirtschaftsgesellschaft des Kreises Warendorf mbH
3037,Stadt Flensburg vertreten durch das Sondervermögen Infrastruktur c/o Technisches Betriebszentrum AöR
4351,Sparda-Bank München eG
1466,EGO
3579,TWH - Technische Werke Herbrechtingen GmbH
832,Donau-Iller Bank eG
3558,Stadtverwaltung Mühlacker
34,GP JOULE Connect GmbH
1128,e-rp GmbH
4247,Bürger-Energie Grabfeld eG
1923,Energie- und Wasserversorgung Rheine GmbH
2899,Stadtwerke Greven GmbH
1926,Stadtwerke Steinfurt GmbH
1920,Stadtwerke Emsdetten GmbH
1412,Stadtwerke Eichstätt
2145,Janbeck*s FAIRhaus
1669,Hirzinger Solar GmbH
831,TGS UG
2917,GRB FMZ Zwei Ltd. & Co. KG
4357,Physiotherapie im Stadtgarten
236,WEVG Salzgitter GmbH & Co.KG
40,Mainzer Stadtwerke AG
1590,Gemeindewerke Rückersdorf
2230,Stadtwerke Suhl/Zella-Mehlis GmbH
1976,Stadtwerke Langenfeld GmbH
2856,Autohaus Bonefeld GmbH
2146,Schleswiger Stadtwerke GmbH
3152,Autohaus Kirschstein GmbH
502,MVV Energie AG
2104,SPR Energie GmbH
4638,Schmutzler Immobilien GbR
2094,Stadtwerke Geesthacht GmbH
4295,Elektro Eichkorn e.K.
2953,Autohaus Schneider e.K.
4386,Auto-Roth GmbH
69,Stadtwerke Baunatal Eigenbetrieb der Stadt Baunatal
4615,Auto Heindorf OHG
4633,Autohaus Kiethe OHG
3396,Hotel Jagdhaus Wiese Franz Wiese GmbH & Co. KG
4477,REMONDIS Münsterland GmbH & Co. KG
2792,EltAV GmbH
590,badenova AG & Co. KG
424,Ahrens Solartechnik GmbH & Co KG
2863,Automobile Baumann GmbH
2125,Stadtwerke Quickborn GmbH
4713,Autohaus Homrich und Neike GmbH
3745,Hotel Gasthof Moosleitner
222,Auto Schrader GmbH
1193,Stadtwerke Neuwied GmbH
805,Stadtwerke Bad Salzuflen GmbH
2198,EW Eichsfeldgas GmbH
2226,Stadtwerke Saalfeld GmbH
673,IFG Ingolstadt AöR
3109,Energieversorgung Marienberg GmbH
865,Sutter³ KG
83,APCOA PARKING Deutschland GmbH
3953,Vierländer Volksbank eG
3492,Stadtwerke Bayreuth Energie und Wasser GmbH
853,Robert Bosch GmbH
2079,Stadtwerke Lutherstadt Wittenberg GmbH
2157,Stadtwerke Norderstedt
3324,Hotel Melter
2411,Ratio Erdöl GmbH & Co KG
717,Stadt Dülmen
2140,Stadtwerke Rendsburg GmbH
495,Stadtverwaltung Münsingen
2466,Auto Kloep
4390,AMH Airport Messe Hotel GmbH
3316,Avacon Natur GmbH
2332,Deutsches Brennstoffinstitut Vermögensverwaltungs-GmbH
1438,Gemeinde Heroldsbach
4508,GdS Energie GmbH
488,deer GmbH
4301,Stadtwerke Bad Saulgau - Eigenbetrieb
4170,IBL Ingenieurbüro Frank Lässig
825,Stadtwerke Iserlohn GmbH
4425,Ladestrom Parkhaus
796,Stadtwerke Kleve GmbH
2998,Markus Goltz Naturstein
1066,Stadtwerke Wolfenbüttel GmbH
1414,e-hier
2169,Stadtwerke Itzehoe GmbH
955,next step mobility
2191,Energieversorgung Gera GmbH
1646,Stadtwerke Wasserburg a. Inn (Eigenbetrieb der Stadt)
224,Stadtwerke Delmenhorst GmbH
1235,Globus Fachmärkte GmbH&Co.KG
4702,Autohaus Bayer KG
1792,Autohof Freienbrink
3508,TellusPower Europe GmbH
2942,EEG Curiestrasse GbR
3332,eAuto-Laden.com
1468,Riessersee-Hotel Betriebsgesellschaft mbH
1996,LVM Servicebüro
3425,Commercial Charger UG
719,GFC mbH
4206,Gemeindewerke Halstenbek
3267,Team Tankstelle Dörte Johannsen e.K.
3069,Intrasol GmbH
474,EnBW ODR AG
2217,Stadtwerke Eisenberg Energie GmbH
1082,Stadtwerke Herne AG
1700,Staatliches Bauamt Weilheim
748,Stadtwerke Soest Energiedienstleistungs GmbH
2408,medl GmbH
2122,Stadtwerke Barmstedt
2249,Stadtwerke Dinslaken GmbH
2091,ewerk Sachsenwald GmbH
2106,Strom von Föhr Vertriebs-GmbH
3977,Parkhotel Emstaler Höhe EU
2073,Stadtwerke Bernburg GmbH
2092,VersorgungsBetriebe Elbe GmbH
1973,Stadtwerke Hilden GmbH
2297,Stadtwerke Annaberg-Buchholz Energie AG
2208,Stadtwerke Ilmenau GmbH
758,NEW AG
527,Stadtwerke Crailsheim
322,Stadtwerke Winsen (Luhe) GmbH
2404,Currenta GmbH & Co. OHG
3273,Samtgemeinde Bruchhausen-Vilsen
2668,Markt Floss
603,ZEAG Energie AG
4145,Voltabox AG
2154,Pattburg Poetzsch GmbH & Co. KG
3251,Alstom Transport Deutschland GmbH
2219,Stadtwerke Stadtroda GmbH
1903,rhenag Rheinische Energie Aktiengesellschaft
3354,Böwing Energietechnik GmbH & Co. KG
1345,naturstrom
857,Regionalwerk Bodensee GmbH & Co. KG
4053,Norderneyer Parkraumbewirtschaftungs-GmbH
1865,Gemeinde Altenbeken
515,Gemeinde Eschelbronn (KdöR)
3720,Elektro Maier GmbH
1298,Stadtwerke Würzburg AG
2211,Stadtwerke Arnstadt GmbH
3590,gebauer-elektrotechnik
3543,Markgräfler Alte Post Hotel GmbH & Co. KG
819,Stadtwerke Bochum GmbH
1810,Stadtwerke Forst GmbH
294,Stadtwerke Lingen GmbH
4473,Felix Beckhaus & Sohn GbR Landhotel Hermannshöhe
3658,Honda R&D Europe (Deutschland) GmbH
4245,Ohra Energie GmbH
191,Stadtwerke Wismar GmbH
524,Stadtwerke Schwäbisch Hall GmbH
1095,Faba Autowelt GmbH
335,Samtgemeinde Leinebergland
680,Präg Energiedienstleistungen GmbH & Co. KG
2074,Stadtwerke Aschersleben GmbH
3317,e.novum Lüneburg gGmbH
869,Stadtwerke Müllheim Staufen GmbH
1515,Stadtwerke Lichtenfels
697,Deutsche Funkturm GmbH
4073,FriesenEnergie GmbH
3400,Paul Witteler GmbH & Co. KG
4422,Gemeindewerke Steißlingen Eigenbetrieb
2536,Stadtwerke Hammelburg GmbH
1245,SSW-Stadtwerke St. Wendel GmbH & Co. KG
3342,Strandterrassen Steinhude Gastronomiebetriebe GmbH
3450,Stadtverwaltung Crailsheim
2407,freiraum statthotel GmbH & Co. KG
2045,TEAG Mobil GmbH
3498,Tesla-Car-Rent  Einzelunternehmen
536,Hotel zum Ochsen Frau Barbara Martin e.K.
2228,Energieversorgung Rudolstadt GmbH
1116,Stadtwerke Frankenthal GmbH
413,Stadtwerke Wunstorf GmbH & Co. KG
1838,emovum GmbH
1067,OBI L+W Heimwerkermarkt und Gartencenter GmbH & Co.KG
1094,Rothermel Hotel & Catering GmbH
4108,Autohaus Stark GmbH
3629,Johannes-Diakonie Mosbach KdöR
63,B&K GmbH & Co. KG
2633,EZV Energie- und Service GmbH & Co. KG Untermain
1198,BOGAMA Einzelunternehmer
104,4XPRESS GmbH
3978,Krebs & Riedel Schleifscheibenfabrik GmbH & Co.KG
2202,Energieversorgung Inselsberg GmbH
1650,Anna und Stefan Schneider Hotel GbR
660,SÜC Energie und H2O GmbH
2235,Licht- und Kraftwerke Sonneberg GmbH
898,Filderstadtwerke
205,Danpower-Gruppe
3964,Bender GmbH & Co. KG
1967,EDEKA Handelsgesellschaft Rhein-Rhur mbH
3596,Stadtwerke Bretten GmbH
4219,Top-Kauf Butenschön
1805,Stadtwerke Wittenberge GmbH
1048,symCharge GmbH
533,Gemeinde Dauchingen
618,SWP Stadtwerke Pforzheim GmbH&Co.KG
3083,Stadtwerke Bad Langensalza GmbH
4446,SenerTec Center GmbH
2509,Stadtwerke Mühldorf a. Inn GmbH & Co. KG
4187,EDEKA Habedank e.K.
1597,Allgäuer Kraftwerke GmbH
1270,AUTOMAG GmbH
1692,Bergsucht-Ruhpolding Eisele & May GbR
4184,Stadt Wernigerode
58,Mainova AG
2459,Gemeinde Strüth Kommune
1811,Energieversorgung Guben GmbH
2471,agile accelerator GmbH
855,Hotel Knoblauch Franz Knoblauch e.K.
1002,Stadtwerke Mosbach GmbH
1143,MANN Naturenergie GmbH & Co. KG
2068,Stadtwerke Merseburg GmbH
2516,Gemeindewerke Markt Lichtenau
